ref_id,category,structure,description,verification_target,refs_version,static_evidence_level,static_analysis_notes,raw_analysis_notes
MD_CS_RA_001,Metadata,Case Sensitivity,Per-directory case sensitivity on ReFS enabled via fsutil file setcasesensitiveinfo. Changes B+-tree key comparison semantics for that directory.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 7.1
MD_CS_RA_002,Metadata,Case Sensitivity,Case-sensitive files get distinct OIDs and type 0x20 stream indices. Files differing only in case coexist as separate B+-tree entries.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 7.2
MD_DATA_RA_001,Metadata,Data Extents,Non-resident extent entry is 24 bytes: VLCN(4) + VLCN_hi(4) + flags(4) + file_VCN(4) + pad(4) + run_length(4),No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,Confirmed by extraction verification: extent clusters sum matches alloc_size/cluster_size. Tested on 48 images
MD_DATA_RA_002,Metadata,Data Extents,"RETRACTED 2026-06-18: the ""single-extent inline shortcut (0x80000002 marker + VLCN@0x04 + cluster_count@0x08)"" is NOT a real structure — it is a misread of the $DATA sub-record header (marker 0x80000002 + descriptor 0x000E0080). Single-extent files use the standard 24-byte extent entry (MD_DATA_RA_001).",No,3.14,N/A,All-image verification + content-match (see structure_reference §C.4),"Phantom: 31,523 files resolve via the 24-byte stride / 0 via any 16-byte form / 400/400 content matches; the 1 ""hit"" had ""VLCN""=0xE0080 = the descriptor 0x000E0080."
MD_DATA_RA_003,Metadata,Data Extents,Hardlinked files share a single type 0x40 extent entry in the original directory's B+-tree [SUPERSEDED by FN_LINK_002/#340: the type-0x30 value+0x00 is a per-directory child ordinal (not a stream_index) and value+0x08 is the home-dir backref],No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,"Remote resolution: follow the home-dir backref (value+0x08) from type 0x30 to find type 0x40 with matching stream_index in that tree | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): This is a behavioral/superseded claim, not a pure byte-layout assertion. The corrected model (value+0x00 = per-dir child ordinal, value+0x08 = home backref) is in FN_LINK_002. Marking INFERRED — the superseding claim FN_LINK_002 i"
MD_DATA_RA_004,Metadata,Data Extents,Type 0x40 key is 24 bytes: attr_type(2)=0x0040 + key_flags(2) + reserved(4) + stream_index(8) + parent_oid(8),No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,parent_oid = the directory OID containing the extent data. stream_index links type 0x30 to type 0x40
MD_DATA_RA_005,Metadata,Data Extents,"Type 0x40 value main header: file_size at offset +0x58, alloc_size at +0x60, timestamps at +0x28, file_attrs at +0x48",No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,Confirmed by matching values between type 0x30 (compact) and type 0x40 (full header) for same file
MD_DATA_RA_006,Metadata,Data Extents,Hardlink directories contain local type 0x40 stub with alloc_size=0 and file_size=0 — extent data only in original directory,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,Stub serves as placeholder; real extents obtained via remote OID lookup. Both stubs and real entries share the type-0x40 extent key. [Hard-link framing predates FN_LINK_002/#340; the type-0x30 value+0x00 is a per-directory child ordinal]
MD_DATA_RA_008,Metadata,Sub-records,"SI $DATA (0x80): 60-byte stream summary + inline content at val[0x3C]. file_size at val[0x20]. summary_size constant 0x30. stream_flags=2 (resident). Minimum 60B (empty file), max observed 320B.",Yes,both,E2+RD,GetResidentStreamSummaryFromDisk at 140077bda,"All resident files across 110 images: content at val[0x3C], size at val[0x20]. 100% consistent. | RE-VERIFIED 2026-06-18 (all-disk): claimed version scope 'both 3.4;3.14;insider' and 'summary_size constant 0x30'; disk shows the 0x30-summary marker-0x80000001 SI $DATA is a v3.14+ structure ONLY. The byte layout (summary 0x30, content@0x3C, size@0x20) is CONFIRMED on v3.14"
MD_DATA_RA_009,Metadata,Sub-records,"MI $DATA (0x80): 40B keys, 40-288B values. Does NOT follow common 12B header. Contains extent/allocation metadata, NOT inline content. Each resident file has exactly 1 SI + 1+ MI entries.",Yes,both,E2+RD,SetResidentStreamSummary decompilation shows MI entries store allocation descriptors,MI $DATA values never contain content extractable as file bytes. Key is 40B (vs SI 16B).
MD_DATA_RA_010,Metadata,Sub-records,$DATA (type 0x80) stream_flags at val+0x38 encodes the checksum type + integrity bit (not a plain resident/non-resident boolean). Stream summary header at val+0x00; resident inline content at val[0x3C].,Yes,both,E2+RD,GetResidentStreamSummaryFromDisk / SetResidentStreamSummary stream summary layout.,stream_flags at val+0x38 carries checksum-type + integrity bit; confirmed across resident $DATA sub-records.
MD_DDIR_001,Metadata,Directory Descriptor,Creation time,No,3.4,E2,RefsComputeStandardInformationFromFcb maps CreationTime at offset 0x00 in $SI,Directory timestamps extracted by refs_dirfiles.py; creation time confirmed in all images
MD_DDIR_002,Metadata,Directory Descriptor,Modification time,No,3.4,N/A,Mapped at offset 0x08 in $SI,Modification time parsed and displayed for all directories
MD_DDIR_003,Metadata,Directory Descriptor,Metadata modification time,No,3.4,N/A,Mapped at offset 0x10 in $SI,
MD_DDIR_004,Metadata,Directory Descriptor,Access time (may be disabled),No,3.4,N/A,Mapped at offset 0x18 in $SI,
MD_DDIR_005,Metadata,Directory Descriptor,Flags,No,3.4,N/A,FileAttributes at offset 0x20 in $SI,Directory flag is 0x10000000 (bit 28) not 0x10 as in Win32. Discovered via Bug #4 during tool development. Confirmed across all 39 images. Non-standard encoding specific to ReFS internal representation. Merged from MD_DDIR_RA_001
MD_DDIR_006,Metadata,Directory Descriptor,Security descriptor ID,No,3.4,N/A,SecurityId at offset 0x28 in $SI,
MD_DEL_RA_001,Metadata,Deletion,$RECYCLE.BIN creation captured in USN with full OID/attribute lifecycle. Created on-demand during first Recycle Bin deletion. Attributes set to Hidden|System|Directory (0x16).,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,"See ra_step4_18_deep_attribute_analysis_report.md Section 5.1 | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was NEW): The on-disk presence/structure of $RECYCLE.BIN is confirmed; the USN-capture and attribute-bit (0x16) claims are behavioral/USN-log facts not exercised here."
MD_DEL_RA_002,Metadata,Deletion,Explorer deletion: $R entry is non-resident with target_oid pointing to source directory. $I entry (544 bytes) contains original path + deletion timestamp.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,"See ra_step4_18_deep_attribute_analysis_report.md Section 5.2 | RE-VERIFIED 2026-06-18 (all-disk): claimed '$I entry (544 bytes)'; disk shows $I $DATA content is 62-188 bytes (variable, holds the path) - the 544 figure is the fixed NTFS $I size, not the ReFS reality. The 'contains original path + deletion timestamp' and '$R non-resident'"
MD_DEL_RA_003,Metadata,Deletion,PowerShell Remove-Item permanently deletes files (USN reason 0x80000200) bypassing $RECYCLE.BIN entirely.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,"See ra_step4_18_deep_attribute_analysis_report.md Section 5.3 | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was NEW): USN-reason and deletion-path are behavioral; no byte-layout signal to confirm/contradict here."
MD_DISK_RA_003,Metadata,Disk Structure,"Resident type 0x30 entry layout: stream_count at offset 0x20, file attributes at offset 0x48, file size at offset 0x58.",No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 9.3
MD_DISK_RA_004,Metadata,Disk Structure,"Stream count semantics: 1=normal file, 2=sparse or link, 3=EFS encrypted, 4-6=files with stream snapshots.",No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,"See ra_step4_18_deep_attribute_analysis_report.md Section 9.5 | RE-VERIFIED 2026-06-18 (all-disk): claimed '1=normal, 2=sparse or link, 3=EFS, 4-6=stream snapshots'; disk shows stream_count is a COUNT of embedded streams/snapshot-versions, not a file-type tag. sc=2 is the common case for plain files, not 'sparse or link'. The fixed seman"
MD_DISK_RA_006,Metadata,Disk Structure,"EFS files on disk: stream_count=3, sub-record #4 contains $EFS named stream (720 bytes) with certificate data (magic bytes $EFS in UTF-16).",No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 9.7
MD_DISK_RA_008,Metadata,Disk Structure,$RECYCLE.BIN on disk: $R entry target_oid=0x7B1 links to source directory. $I metadata file (188 bytes resident) contains original path and deletion timestamp.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,"See ra_step4_18_deep_attribute_analysis_report.md Section 9.9 | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was NEW): The mechanism is right; 0x7B1 and 188 are per-image samples and must be relabelled as examples."
MD_DISK_RA_009,Metadata,Disk Structure,Case-sensitive directory on disk: both case variants (e.g. ABC.txt and abc.txt) coexist as separate B+-tree keys with distinct OIDs.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 9.10
MD_DISK_RA_010,Metadata,Directory Entry,Type 0x20 entries (kf=0x8000): secondary filename index mapping stream indices to filenames. Key format: attr_type(0x20) + kf(0x8000) + stream_idx. Value: header + filename_len(u16) + UTF-16LE filename. Enables reverse lookup from stream index to filename.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 9.4
MD_EFS_RA_001,Metadata,EFS Encryption,EFS encryption lifecycle: EFS0.LOG created in system metadata directory (OID 0x701). Encryption change reason code 0x00040000 in USN.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 6.1
MD_EFS_RA_002,Metadata,EFS Encryption,Encrypt-decrypt-encrypt cycle fully tracked via USN; each operation generates new EFS0.LOG entry with new OID entry index.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 6.2
MD_EFS_RA_003,Metadata,EFS Encryption,Encrypted files: stream_count=3 with $EFS named stream. Minimum 4096-byte allocation even for small files. Attribute value changes from 0x20 to 0x4020.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 6.3
MD_EFS_RA_005,Metadata,Sub-records,"$EFS (type 0x100): key contains '$EFS' stream name. Value 676B follows common 12B header. EFS version=2 at val[0x14], certificate GUID at val[0x18], DDF/DRF at val[0x50+]. 4 entries on win11refs4gattributestest2.",Yes,both,E2+RD,RefsCheckValidAttributeAccess confirms type 0x100,"4 entries decoded from encrypted test files. All 676B, version=2."
MD_FTBL_001,Metadata,File Table,Creation time,No,3.4,N/A,Same $SI pipeline used for files and directories,File timestamps extracted by refs_dirfiles.py across all images
MD_FTBL_002,Metadata,File Table,Modification time,No,3.4,N/A,,Modification time displayed for all files
MD_FTBL_003,Metadata,File Table,Metadata modification time,No,3.4,N/A,,
MD_FTBL_004,Metadata,File Table,Access time,No,3.4,N/A,,
MD_FTBL_005,Metadata,File Table,Flags,No,3.4,N/A,,"ARCHIVE, HIDDEN, SYSTEM, REPARSE_POINT flags confirmed in directory entries"
MD_FTBL_006,Metadata,File Table,Security descriptor ID,No,3.4,N/A,,
MD_FTBL_007,Metadata,File Table,Size / Allocated size,No,3.4,E2,RefsSetEndOfFileInfo updates file size; RefsWriteFileSizes updates valid data length,File sizes correctly parsed from directory entries; matches expected values from Generate-FSActivity
MD_LK_RA_001,Metadata,Links,"Junctions, directory symlinks, and file symlinks all supported on ReFS. All symlink types show 'l' flag in PowerShell Mode column.",No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,"See ra_step4_18_deep_attribute_analysis_report.md Section 8.1 | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was NEW): Pure RD-observation/behavioral; no measurable byte-layout assertion."
MD_LK_RA_002,Metadata,Links,Symlinks stored as resident entries with attributes 0x420 (file) or 0x10000400 (directory). Target path stored twice in sub-record #3. Reparse data in sub-record #3.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 8.2
MD_LK_RA_003,Metadata,Links,ADS cannot be set on symlink files (reparse points) on ReFS. set-content -stream fails on reparse point entries.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 8.4
MD_LK_RA_004,Metadata,Links,USN reason 0x100000 (Reparse point change) identifies link creation events. Junctions get separate event; symlinks combine with File create (0x00100100).,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,"See ra_step4_18_deep_attribute_analysis_report.md Section 8.3 | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was NEW): USN-log behavioral; no byte-layout signal."
MD_LK_RA_005,Metadata,$OBJ_LINK,"$OBJ_LINK (type 0x39 on v3.7+, 0x38 on v3.4) stores primary filename + parent OID within each object's type 0x10 B+-tree record. Enables path reconstruction from Object Table alone without directory walk. Driver: RefsInitializeObjLinkRow.",Yes,both,E2+RD,RefsInitializeObjLinkRow builds row; RefsInitializeAttributeRowKey(0x39) at 14030c92c; VCB+0x2ACC version check at 1400f74a8 selects 0x38 vs 0x39,"110 images: v3.4 images use 0x38 (509 entries), v3.7+ use 0x39 (32077 MI + 14 SI). Parent OID verified via directory walk cross-reference."
MD_LK_RA_006,Metadata,$OBJ_LINK,"$OBJ_LINK version evolution: type 0x38 (v3.4, no instance markers) → type 0x39 (v3.7+, with 0x80000002 MI marker). Upgraded volumes retain v3.4 format for existing entries. Version check at VCB+0x2ACC.",Yes,both,E2+RD,Version check in decompilation: if VCB+0x2ACC == 0x38 use legacy format,win10to11refs4g.raw (v3.4→v3.14 upgrade): 39 OIDs all retain type 0x38 despite v3.14 version number.
MD_LK_RA_007,Metadata,$OBJ_LINK,$OBJ_LINK value format (v3.7+): +0x00=marker(4B) +0x04=type(2B) +0x06=subtype(2B) +0x08=parent_oid(le32) +0x0C=reserved(12B zeros) +0x18=filename(UTF-16LE). Total varies with filename length (26-82 bytes observed).,Yes,both,E2+RD,,32077 entries parsed: parent_oid at +0x08 matches directory walk parent. Filename at +0x18 matches type 0x30 key. Reserved bytes +0x0C always zero.
MD_LK_RA_008,Metadata,Sub-records,"v3.4 $OBJ_LINK (type 0x38): uses 12B common header. Parent OID at val[0x14], 4 timestamps at val[0x1C-0x3C], file_attrs at val[0x3C], filename at val[0x5E]. Verified on win10refsmini (6 entries).",Yes,both,E2+RD,RefsInitializeObjLinkRow decompilation,6 entries decoded. Parent OIDs and filenames match directory tree.
MD_LK_RA_009,Metadata,Sub-records,"v3.7+ $OBJ_LINK (type 0x39): NO common header. val[0:4]=marker 0x80000002, val[8:12]=parent_oid, val[24:]=filename. Timestamps removed vs v3.4. 26560 entries on Insider.",Yes,both,E2+RD,RefsInitializeObjLinkRow decompilation (Win11),26560 entries. All decode correctly with parent OIDs matching directory tree.
MD_MISC_001,Metadata,Manipulation,SetMace does not work on ReFS (no $MFT),No,3.2,N/A,,
MD_MISC_002,Metadata,Volume Direct IO File,"Unknown metadata file, future work",Yes,3.4,N/A,,
MD_SECT_001,Metadata,Security Table,Centralized security descriptors indexed by security ID,No,3.4,E2,Security ID at offset 0x28 in $SI; SeAccessCheck calls in RefsCommon* functions,Security Descriptor Stream (OID 0x530) present in all images' Object Tables
MD_SF_RA_001,Metadata,Sparse Files,"Sparse file creation requires 3-step process on ReFS: (1) create file, (2) fsutil sparse setflag, (3) fsutil sparse setrange.",No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 4.1
MD_SF_RA_002,Metadata,Sparse Files,Sparse flag appears as Basic info change (0x8000) in USN with attribute changing from 0x20 to 0x220 (adding FILE_ATTRIBUTE_SPARSE_FILE bit 0x200).,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 4.2
MD_SF_RA_004,Metadata,Sparse Files,Fully sparse files have alloc_size=0 on disk (confirmed via refs_dataruns.py). No clusters allocated for fully sparse content.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 4
MD_SI_RA_001,Metadata,$SI,"E21: $SI field corrections — ReparseTag at +0x54 (not 0x4C), HardLinkCount at +0x70 (not 0x48), +0x48 is conditional u64, +0x50 is u16-derived u32. Five corrections from RefsComputeStandardInformationFromFcb decompilation.",Yes,3.14,E2+RD,"RefsComputeStandardInformationFromFcb: *(u32*)(SI+0x54) = *(u32*)(FCB+0x9c) (ReparseTag), *(u32*)(SI+0x70) from RefsConvertToStandardInfoLinkCount","525K entries / 111 images: +0x54 correct for symlinks. +0x70 always 0 or 1. CORRECTION: the prior ""confirmed cross-directory hard links"" (87/41 multi-parent OIDs) were a parser artifact — non-resident type-0x30 value[0x08] is the home-directory OID back-reference (shared by siblings), not a child OID. $SI+0x70 is the resident-layout HLC (always 0/1) and is NOT the multi-name counter. The pre-step6 corpus had no genuine hard links, but they DO exist (non-resident type-0x30 mechanism) and were since observed on win11refs2gtargeted (FN_LINK_002/#340)"
MD_SI_RA_002,Metadata,$SI,"Type-0x10 $SI+0x38 (DataSize slot) = 0 across all versions / 110 images (CONFIRMED). The value previously attributed to 'resident directory-entry $SI DataSize' is the type-0x30 INDEX-ENTRY FileSize at value+0x58 (master C.2) — a DIFFERENT structure, not $SI+0x38.",Yes,both,E2+RD,"RefsComputeStandardInformationFromFcb: *(u64*)(SI+0x38) = *(u64*)(FCB+0x88), sourced from attribute 0x80 stream summary","CORRECTED 2026-06-19 (E45/E26, master C.7): the '$SI+0x38 DataSize populated in resident dir entry' label is wrong — that 97.9%-matching value is the type-0x30 index-entry FileSize at value+0x58. Type-0x10 $SI+0x38 itself is 0. | 110 images / 525145 entries: ALL child OID type 0x10 $SI have DataSize=0. Resident directory entries: 32573/33263 exact match (97.9%). Report: report_datasize_verification.txt"
MD_SI_RA_003,Metadata,$SI,"The 97.9% exact-match value (32573/33263 on winsider.raw) is the type-0x30 INDEX-ENTRY FileSize at value+0x58 (master C.2), NOT '$SI DataSize' (the type-0x10 $SI+0x38 DataSize slot is 0 across the corpus). FileSize == embedded $DATA content size (8-byte aligned; FileSize >= content always).",Yes,3.14,RD,,"CORRECTED 2026-06-19 (E45/E26, master C.7): re-attributed from '$SI DataSize' to the type-0x30 index-entry FileSize at value+0x58. The measurement is real; only the field label was wrong. | winsider.raw: 32573 exact + 689 alignment + 1 outlier = 33263 total resident. All 689 mismatches follow ceil(n/8)*8 pattern. Excluding win11refs2tmillionsofactionsv2: 97.0% match across remaining images."
MD_SI_RA_004,Metadata,$SI,"Directory DataSize=0 invariant: 32490/32490 directories (100%) have $SI+0x38 = 0 across all 110 tested images and all versions (v3.4 through v3.14+/insider). Directories never have a $DATA stream, so DataSize is always zero.",Yes,both,RD,,"110 images scanned: 32490 directories, 0 exceptions. Invariant holds on v3.4 (12 images), v3.7-v3.10 (5 images), v3.14+ (91 images), v6.66 (2 images)."
MD_SI_RA_005,Metadata,$SI,"InternalFlags ($SI+0x24) transition: zero on ALL v3.4/v3.7/v3.9/v3.10 images (0/18). Non-zero on ALL v3.14 images (90/90, 368380 entries). Transition at v3.14, not v3.10 as E25 conservative estimate.",Yes,both,E2+RD,RefsComputeStandardInformationInternalFromFcb at 1400b7454 (Win11) / 1400b0604 (Insider): 4-bit extraction from FCB[0x08],"111 images / 525165 entries: zero on v3.4-v3.10 (8389 entries), non-zero on v3.14 (368380). Bits 4-5 via callers."
MD_SI_RA_006,Metadata,$SI,"InternalFlags bit mapping: bit0=DELETE/DISPOSITION (FCB bit27 — set in DeleteDirectoryOnDisk/EFS paths, NOT integrity; integrity-stream = file_attrs 0x8000 per MD_INTG_RA_001/#342), bit1=DEDUP/COW(FCB bit22), bit2=BIT_0xB(FCB bit11), bit3=BIT_0x1F(FCB bit31). Most common: 0x08 (BIT_0x1F at 33553 on Insider). Bits 4-5 from RefsConvertToStandardInfoLinkCount.",Yes,both,E2+RD,Decompiled at 1400b7454 (Win11) / 1400b0604 (Insider). Identical logic.,"Insider: 0x08=33553, 0x01=997, 0x20=78, 0x05=7, 0x28=3"
MD_SI_RA_008,Metadata,$SI,"$SI+0x58 (v3.4 ""ExternalFileId_1"" / v3.7+ ""VersionRefCount"") = NextFileId, a directory CHILD-CREATION ordinal — NOT a version/write counter. Write path RefsMoveFile increments the parent dir SCB's NextFileId (SCB+0x1b8 win11/+0x1a8 insider, init=1) and stamps the new child FCB+0x158. Non-zero on 100% of v3.4 entries (3601/3601), values small integers = assigned child ordinals.",Yes,both,E2+RD,RefsMoveFile increments parent SCB NextFileId (L192932) + RefsPersistNextFileId; persisted to dir own-row only when version<0x30b (else object-record payload). Read in RefsComputeStandardInformationFromFcb from dir SCB.,3601/3601 v3.4 entries non-zero; values = child ordinals (near-contiguous from 2). dir own-row = max(child ordinal): 0 violations across 232 dirs on v3.7/3.9/3.10.
MD_SI_RA_010,Metadata,$SI,"NextFileId ($SI+0x58, formerly ""VersionRefCount"") upper 32 always 0 across 521564 v3.7+ entries; full u64, max observed 110001 (a child ordinal, NOT a version/write count). 3-population model: resident-file inline $SI always populated (all versions incl native v3.14); dir/file own-rows populated v3.4-v3.10 but 0 on native v3.14 (version<0x30b persist gate).",Yes,both,E2+RD,RefsPersistNextFileId writes dir own-row $SI+0x58 only when version<0x30b; object-record payload on all versions. Read from dir SCB+0x1b8/0x1a8.,"521564 v3.7+ entries, hi=0 on 100%. Max=110001. Resident files populated on native v3.14; dir/file own-rows 0 on native v3.14."
MD_SI_RA_011,Metadata,$SI,PackedEaSize transition at v3.10 confirmed: v3.4-v3.9 max=12 (SYMLINK & 0xFFFF). v3.10+ max=209 (EA sizes). V4 invariant (ReparseTagLow16 == Tag & 0xFFFF): 0 violations on v3.4-v3.9.,Yes,both,E2+RD,E22: version check in decompilation at transition point,"v3.4: 187 non-zero (max 12). v3.7: 116 (max 12). v3.9: 242 (max 12). v3.10: 0. v3.14: 3991 (max 209). | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): Offset confirmed; field is small. The semantic transition (v3.4-3.9 ReparseTagLow16 vs v3.10+ PackedEaSize) and the V4 invariant are E2-grounded and not disk-verifiable on the pre-3.10 side (UNCONFIRMABLE there - no pre-3.10 repar"
MD_SI_RA_012,Metadata,$SI,ExternalFileObjectId ($SI+0x74 v3.7+): Only 1 non-zero entry across 525K entries (0xF000 on testads.txt in win11refs2tsnapshots). Effectively unused.,Yes,both,RD,,1/525165 non-zero across 111 images.
MD_SI_RA_013,Metadata,$SI,"$SI+0x40 ClassTag = the file LastUsn (byte offset of its most recent $UsnJrnl:$J record, from journal write cursor VCB+0x3a0 / FCB+0xe0; 8-byte aligned). $SI+0x48 SessionTimestamp = the USN JOURNAL ID (VCB+0x388, a FILETIME). NOT a storage-tiering tag (the E3/E24 tiering theory is DISPROVEN). FCB bit23 = cached last-USN valid for current journal epoch. Both written atomically by RefsWriteFcbUsnRecordToJournal->RefsPartialSetStandardInfo (gated VCB+0x18 & 0x80000), explaining the 0-violation co-occurrence.",Yes,both,E2+RD,"RefsWriteFcbUsnRecordToJournal->RefsPartialSetStandardInfo(...,0x40,0x10,...) gated VCB+0x18 & 0x80000 (win11 L446230). Journal id VCB+0x388 set at init (L159523/L445682). Read code present since v3.4 (VCB+0x360, FCB+4 bit).","717/717 ClassTag values 8-byte aligned (USN records are 8-aligned); exactly 1 distinct SessionTimestamp per volume (journal id, not per-file); upper-32 always 0; nonzero only on v3.14+ images with active USN journal."
MD_SI_RA_014,Metadata,$SI,"InternalFlags ($SI+0x24) bit5 (0x20) = symlink/junction REDIRECTION-TRUST level (FCB[0xf4] bit1 from IoComputeRedirectionTrustLevel), NOT ""HardLinkCount drops to 0"". Written only in RefsSetReparsePointInternal for tags 0xa000000c/0xa0000003. The HLC-zero path (RefsConvertToStandardInfoLinkCount) ORs bit2 (0x04), never 0x20.",Yes,both,E2+RD,RefsSetReparsePointInternal sets FCB[0xf4] (L174306); RefsComputeStandardInformationFromFcb shifts FCB[0xf4] bits 0-1 into $SI+0x24 bits 4-5 (L159547). Link-count-zero path ORs param_4=0x04 (insider L511461).,"winsider file_own internal_flags=0x20 count = 78 = EXACTLY the 78 reparse points (46 junctions + 32 symlinks). Across 47 v3.14+ images with bit5 set, all 47 have a symlink/junction; 0 counterexamples. | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): The 'redirection-trust level (FCB[0xf4] bit1 from IoComputeRedirectionTrustLevel)' semantic is static/E2-only. Disk confirms the 78=78 reparse-point correlation but the bit's exact FCB source is not disk-derivable."
MD_SI_RA_015,Metadata,$SI,"RETRACTED: $SI+0x30 is NOT a USN/change-journal byte-offset. Type-0x10 $SI+0x30 = 0 on 0/32,629 own-rows across the corpus. The real per-file->journal link is LastUsn ($SI+0x40 / value+0x68) = virtual byte offset of the file's latest $UsnJrnl:$J record + UsnJournalId ($SI+0x48 / value+0x70).",Yes,both,E2+RD,RefsComputeStandardInformationFromFcb: USN <- FCB+0x90 (L159515); on refresh FCB+0x90 overwritten from $DATA stream summary +0x10 (L465168). RefsUsnAppendData advances the write pointer by record length.,"RETRACTED 2026-06-19 (E30 retracted 2026-06-17, E45): the 'USN at $SI+0x30, populated 53-99.5%' values were a misread of the type-0x30 index-entry FileSize at value+0x58. Proven: USN = LastUsn@value+0x68 (480/480 $J-record matches). | 0% nonzero on file_own + dir_own across ALL versions; file_resident 53-99.5% (tracks journal activity)."
MD_SI_SA_001,Metadata,SI,$SI size: Win10=116B (0x74); Win11=124B (0x7C). RefsMapStandardInfo validates minimum size. NOT backward-compatible,No,both,E2,"Win11 SI structure is entirely new finding. v3.7+ extension fields corrected: 0x40=LastUsn, 0x48=UsnJournalId, 0x50=PackedEaSize, 0x54=ReparseTag, 0x58=NextFileId, 0x60/0x68=ExternalFileId_2/3, 0x70=HardLinkCount, 0x74=NextStreamSetId (see E27/E28/E36/E39)",Would need attribute-level parser to verify from raw disk
MD_SI_SA_002,Metadata,SI,"RefsComputeStandardInformationFromFcb (Win11 only): constructs complete 124-byte $STANDARD_INFORMATION from FCB fields. Maps all $SI offsets (corrected names: LastUsn 0x40, UsnJournalId 0x48, PackedEaSize 0x50, ReparseTag 0x54, NextFileId 0x58, ExtFileId_2/3 0x60/0x68, HardLinkCount 0x70, NextStreamSetId 0x74). Not present in Win10.",No,win11,E2,See RefsComputeStandardInformationFromFcb.md. Rosetta Stone for Win11 $SI structure,Would need attribute-level parser to verify from raw disk
MD_SNAP_RA_001,Metadata,Stream Snapshots,Stream snapshots: snapshot name stored inline as UTF-16LE in sub-record body. Created via refsutil streamsnapshot /c.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 10.1
MD_SNAP_RA_002,Metadata,Stream Snapshots,Snapshots preserve complete extent descriptor sets for each file version. Enables recovery of previous file content from raw disk.,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,"See ra_step4_18_deep_attribute_analysis_report.md Section 10.3 | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was NEW): Behavioral/recovery claim; the descriptor structure is on-disk but the non-resident extent recovery path is not exercised by corpus images."
